nodes, processes, cpu, cpu_sort, cpu_memory, cpu_merge, I/O, I/O_read, I/O_write, communication, total, execution_time
1, 1, 26.322465, 26.322429, 0.000028, 0.000000, 2.706208, 1.347962, 1.358253, 0.000000, 29.028690, 29.028696, 
1, 2, 31.554775, 25.410169, 0.206586, 5.937949, 3.469644, 1.294243, 2.175408, 4.095328, 39.119825, 19.384016, 
1, 4, 38.447234, 25.684140, 0.333769, 12.429095, 5.237145, 1.375131, 3.862023, 30.373732, 74.058365, 24.266350, 
1, 8, 55.366824, 29.824526, 0.862761, 24.678710, 10.858481, 2.032213, 8.826278, 27.310803, 93.537040, 11.632416, 
1, 12, 71.447338, 33.930852, 1.198042, 36.316450, 16.013276, 2.015955, 13.997363, 46.080462, 133.543274, 10.111566, 
1, 16, 
1, 24, 
1, 48, 

2, 2, 31.116670, 25.077258, 0.132582, 5.906764, 3.615588, 1.842487, 1.773110, 5.365879, 40.098205, 19.595929, 
2, 4, 38.469397, 25.669494, 0.347587, 12.452110, 5.858709, 1.486605, 4.372116, 12.733950, 57.062280, 14.227395, 
2, 8, 55.059809, 29.577194, 0.763612, 24.718105, 11.483444, 2.065699, 9.417767, 28.571009, 95.115181, 11.369165, 
2, 12, 71.411794, 34.140915, 1.310502, 35.958398, 15.343751, 2.567394, 12.776389, 43.836117, 130.593719, 11.163286, 
2, 16, 83.289063, 35.002258, 1.695431, 46.588007, 22.250913, 3.485925, 18.765029, 58.292479, 163.836066, 10.303350, 
2, 24, 105.421296, 33.461680, 2.630764, 69.321583, 28.964005, 5.353506, 23.610547, 85.120675, 219.514130, 8.455121, 
2, 48, 

3, 4, 38.067747, 25.359291, 0.318123, 12.390115, 4.525642, 1.350190, 3.175465, 12.581437, 55.175044, 13.938069, 
3, 8, 54.539559, 29.633990, 0.701967, 24.202759, 10.667992, 2.166538, 8.501474, 28.283146, 93.491526, 11.322710, 
3, 12, 70.295870, 33.913212, 1.217454, 35.163359, 16.121757, 2.781455, 13.340343, 43.142329, 129.561884, 9.855165, 
3, 16, 82.666373, 34.834296, 1.569966, 46.258876, 20.585089, 3.452092, 17.133037, 58.915579, 162.170474, 9.491065, 
3, 24, 104.345056, 33.356158, 2.610343, 68.371317, 28.625813, 6.135583, 22.490274, 84.270506, 217.249381, 8.616182, 
3, 48, 

4, 4, 37.543250, 25.043475, 0.229487, 12.270066, 3.235790, 1.294717, 1.941089, 10.672872, 51.452106, 12.861508, 
4, 8, 53.289658, 29.165401, 0.614645, 23.508806, 10.241198, 2.217985, 8.023232, 24.694953, 88.226566, 10.394983, 
4, 12, 69.649511, 33.699916, 1.146907, 34.800898, 17.217030, 2.873198, 14.343866, 40.710140, 127.578531, 9.917915, 
4, 16, 82.439731, 34.689441, 1.539334, 46.207736, 22.035921, 3.763214, 18.272736, 58.364566, 162.843546, 9.438163, 
4, 24, 103.299129, 33.216983, 2.546194, 67.528857, 27.188820, 6.337776, 20.851087, 84.042942, 214.538674, 8.669609, 
4, 48, 167.245518, 30.483236, 5.087670, 131.647142, 52.353124, 9.246484, 43.106715, 164.928798, 384.558243, 9.044354, 

